light,ax,ay,az,gx,gy,gz,label
2011,0.0903,-0.0094,1.0027,-0.3052,0.1221,-0.1831,brightshaky
2011,0.0891,-0.0099,1.0039,-0.2441,0.1831,-0.1221,brightshaky
2010,0.0886,-0.01,1.0043,-0.2441,0.2441,-0.1831,brightshaky
2009,0.0883,-0.0103,1.006,-0.2441,0.3052,-0.1221,brightshaky
2008,0.089,-0.0095,1.0034,-0.2441,0.061,-0.2441,brightshaky
2007,0.0896,-0.0084,1.0042,-0.2441,0.1831,-0.1831,brightshaky
2006,0.0887,-0.0092,1.0046,-0.2441,0.1831,-0.1831,brightshaky
1958,0.0162,-0.0076,1.0072,-0.3052,0.1831,-0.2441,brightstable
1958,0.0168,-0.0082,1.0078,-0.3052,0.1831,-0.1831,brightstable
1956,0.0166,-0.0088,1.0088,-0.2441,0.1221,-0.2441,brightstable
1954,0.0173,-0.0085,1.0081,-0.1831,0.3052,-0.2441,brightstable
1953,0.0162,-0.0081,1.0072,-0.2441,0.1831,-0.2441,brightstable
1953,0.0161,-0.0079,1.0077,-0.1831,0.061,-0.1831,brightstable
1953,0.0157,-0.0081,1.0072,-0.1831,0.1831,-0.1831,brightstable
1953,0.0172,-0.0084,1.0082,-0.2441,0.1831,-0.1831,brightstable
1953,0.0164,-0.0082,1.0081,-0.1831,0.1831,-0.2441,brightstable
1954,0.0165,-0.0085,1.0065,-0.1831,0.2441,-0.2441,brightstable
1953,0.0167,-0.0079,1.0073,-0.3052,0.2441,-0.2441,brightstable
1951,0.0164,-0.0079,1.0087,-0.1831,0.2441,-0.2441,brightstable
1950,0.0167,-0.009,1.0074,-0.2441,0.1831,-0.2441,brightstable
1950,0.0164,-0.0081,1.009,-0.2441,0.2441,-0.3052,brightstable
1949,0.0167,-0.0079,1.0063,-0.2441,0.2441,-0.2441,brightstable
1948,0.0165,-0.0087,1.0077,-0.1831,0.1831,-0.2441,brightstable
1948,0.0173,-0.0074,1.0066,-0.3052,0.2441,-0.1831,brightstable
1949,0.0177,-0.0082,1.0083,-0.3052,0.3052,-0.2441,brightstable
1949,0.0173,-0.0077,1.0077,-0.2441,0.1831,-0.2441,brightstable
1948,0.0173,-0.0081,1.0072,-0.2441,0.3052,-0.1831,brightstable
1946,0.0175,-0.009,1.0084,-0.3052,0.3052,0,brightstable
1946,0.0192,-0.0083,1.0077,-0.1831,0.5493,0.1831,brightstable
1946,0.0204,-0.0085,1.0074,-0.2441,0.3662,0.1221,brightstable
1946,0.0197,-0.0083,1.0073,-0.2441,0.3052,0,brightstable
1945,0.02,-0.0085,1.0071,-0.1831,0,-0.2441,brightstable
1944,0.0167,-0.0088,1.0055,-0.3052,-0.1221,-0.6104,brightstable
1945,0.017,-0.0088,1.0068,-0.2441,0.2441,-0.7324,brightstable
1944,0.0172,-0.0076,1.007,-0.3052,0.3052,-0.3662,brightstable
1942,0.0176,-0.0082,1.0062,-0.1831,0.4883,0.1221,brightstable
1941,0.0179,-0.0071,1.0071,-0.1831,0.3052,-0.1221,brightstable
1940,0.019,-0.0093,1.0072,-0.2441,0.2441,-0.1831,brightstable
1939,0.0186,-0.0087,1.0074,-0.2441,0.3052,-0.061,brightstable
1940,0.0201,-0.0083,1.0077,-0.2441,0.2441,-0.1831,brightstable
1941,0.0188,-0.0087,1.0076,-0.1831,0.1831,-0.061,brightstable
1942,0.0201,-0.0083,1.0078,-0.3052,0.2441,0,brightstable
1945,0.0204,-0.0079,1.0073,-0.2441,0.3052,0.061,brightstable
1947,0.021,-0.0087,1.0081,-0.2441,0.2441,0.1831,brightstable
1947,0.021,-0.0087,1.0081,-0.2441,0.3052,0.3662,brightstable
1947,0.0216,-0.0085,1.0071,-0.1831,0.3052,0.2441,brightstable
1947,0.0212,-0.0082,1.0072,-0.2441,0.1831,-0.061,brightstable
1947,0.0206,-0.0084,1.0089,-0.2441,-0.061,-0.3052,brightstable
1944,0.0211,-0.0078,1.0077,-0.3052,0,-0.4272,brightstable
1939,0.0194,-0.0073,1.0071,-0.1831,-0.061,-0.6714,brightstable
1937,0.0182,-0.0079,1.0061,-0.2441,-0.1221,-0.9155,brightstable
1939,0.0162,-0.0078,1.0073,-0.3052,0.1221,-1.0376,brightstable
1935,0.0181,-0.0088,1.0082,-0.1831,0.9155,0.4883,brightstable
1934,0.0206,-0.0084,1.0077,-0.1831,0.4272,0.7324,brightstable
1936,0.0199,-0.0082,1.007,-0.2441,0,-0.2441,brightstable
1935,0.0175,-0.0096,1.0059,-0.2441,-0.061,-0.5493,brightstable
1936,0.0172,-0.0077,1.0063,-0.2441,0.1831,-0.5493,brightstable
1934,0.0175,-0.0094,1.0068,-0.2441,0.3662,-0.2441,brightstable
1931,0.0187,-0.0085,1.0078,-0.1831,0.4272,0,brightstable
1931,0.019,-0.0082,1.0061,-0.2441,0.1831,-0.1831,brightstable
1932,0.0184,-0.009,1.0061,-0.3052,0,-0.2441,brightstable
1933,0.0181,-0.0077,1.006,-0.2441,0.2441,-0.1831,brightstable
1932,0.019,-0.0087,1.0066,-0.2441,0.3662,-0.2441,brightstable
1933,0.0192,-0.0089,1.0079,-0.1831,0.4272,-0.061,brightstable
1935,0.0187,-0.0087,1.0073,-0.1831,0.3052,0.2441,brightstable
1936,0.0201,-0.0078,1.0082,-0.1221,0.4272,0.3052,brightstable
1937,0.021,-0.0087,1.0071,-0.2441,0.3052,0.1831,brightstable
1938,0.0198,-0.0096,1.0063,-0.2441,0.3052,0.1831,brightstable
1938,0.0215,-0.0101,1.0067,-0.3052,0.1831,-0.1221,brightstable
1938,0.0204,-0.0077,1.0076,-0.3052,-0.061,-0.5493,brightstable
1937,0.0199,-0.0073,1.0074,-0.3052,-0.061,-0.8545,brightstable
1936,0.0183,-0.0078,1.007,-0.1831,0.061,-0.6714,brightstable
1932,0.0187,-0.0083,1.007,-0.2441,0.061,-0.5493,brightstable
1931,0.0173,-0.0089,1.0079,-0.1831,0.1221,-0.1831,brightstable
1929,0.0177,-0.0089,1.0077,-0.1831,0.3662,-0.1831,brightstable
1928,0.0181,-0.0095,1.0057,-0.1831,0.4272,0.1831,brightstable
1929,0.0199,-0.0089,1.0077,-0.3052,0.3052,-0.061,brightstable
1930,0.0192,-0.0085,1.0072,-0.2441,0.1221,-0.2441,brightstable
1932,0.02,-0.0087,1.0081,-0.2441,0.1221,-0.4272,brightstable
1931,0.0179,-0.0077,1.0074,-0.3052,-0.061,-0.5493,brightstable
1934,0.0167,-0.0072,1.0088,-0.2441,0.2441,-0.3052,brightstable
1932,0.017,-0.0083,1.0074,-0.1831,0.4272,-0.1221,brightstable
1932,0.0192,-0.0082,1.007,-0.1221,0.4883,0.3662,brightstable
1932,0.0197,-0.0074,1.0082,-0.2441,0.3662,0.5493,brightstable
1933,0.0209,-0.0089,1.007,-0.1831,0.3662,0.2441,brightstable
1934,0.0215,-0.0076,1.0072,-0.1831,0.2441,0.061,brightstable
1934,0.0216,-0.0089,1.0057,-0.3052,-0.1831,-0.3662,brightstable
1931,0.0176,-0.009,1.0068,-0.3052,-0.1221,-2.1973,brightstable
1934,0.0155,-0.0077,1.0083,-0.1831,-0.4272,-1.2207,brightstable
1934,0.0144,-0.0085,1.0078,-0.1831,0.7935,-0.1221,brightstable
1929,0.0171,-0.0078,1.0073,-0.2441,0.6714,0.5493,brightstable
1927,0.0189,-0.0087,1.0076,-0.3052,0.061,-0.2441,brightstable
1925,0.0178,-0.0088,1.0079,-0.3052,0.1831,-0.6104,brightstable
1924,0.0179,-0.0088,1.0079,-0.2441,0.4883,-0.061,brightstable
1928,0.0187,-0.0084,1.0068,-0.1831,0.3662,0.5493,brightstable
1933,0.0195,-0.0082,1.0076,-0.1831,0.3052,0.3052,brightstable
1937,0.0215,-0.0076,1.0071,-0.2441,0.3052,0.061,brightstable
1940,0.0201,-0.0078,1.0071,-0.2441,0.3052,0,brightstable
1943,0.0203,-0.0084,1.0077,-0.1831,0.3662,0.3052,brightstable
1943,0.0211,-0.0076,1.0063,-0.1831,0.3052,0.061,brightstable
1940,0.0208,-0.0087,1.007,-0.2441,0.1221,-0.2441,brightstable
1937,0.019,-0.0082,1.0068,-0.3052,0,-0.4883,brightstable
1935,0.0188,-0.0082,1.0077,-0.2441,-0.1221,-0.8545,brightstable
1934,0.0187,-0.0095,1.0074,-0.3052,0.1221,-0.7935,brightstable
1932,0.0188,-0.0081,1.009,-0.1831,0.1831,-0.6714,brightstable
1933,0.0179,-0.0076,1.0066,-0.2441,0.1831,-0.3052,brightstable
1933,0.0179,-0.0096,1.0073,-0.1831,0.2441,-0.1831,brightstable
1933,0.0183,-0.0081,1.009,-0.2441,0.3052,-0.061,brightstable
1932,0.0186,-0.0081,1.0072,-0.2441,0.061,-0.2441,brightstable
1932,0.0171,-0.0077,1.0077,-0.2441,0.061,-0.5493,brightstable
1930,0.0177,-0.0085,1.0076,-0.3052,0.061,-0.6714,brightstable
1929,0.0172,-0.009,1.0083,-0.2441,0.1831,-0.2441,brightstable
1929,0.0184,-0.0083,1.0065,-0.1831,0.3662,-0.1831,brightstable
1929,0.0178,-0.0082,1.0065,-0.2441,0.2441,-0.2441,brightstable
1930,0.0181,-0.0077,1.0079,-0.2441,0.1831,-0.3052,brightstable
1932,0.017,-0.0084,1.0067,-0.2441,0.2441,-0.1831,brightstable
1931,0.0176,-0.0076,1.0073,-0.1831,0.3052,-0.1831,brightstable
1931,0.0172,-0.0088,1.0081,-0.2441,0.3052,-0.2441,brightstable
1931,0.017,-0.0079,1.0074,-0.3052,0.3052,-0.2441,brightstable
1931,0.0186,-0.0073,1.0072,-0.1831,0.3052,-0.1831,brightstable
1932,0.0187,-0.0078,1.0084,-0.2441,0.3052,0,brightstable
1933,0.0178,-0.0084,1.0078,-0.1831,0.2441,0,brightstable
1934,0.0189,-0.0082,1.0062,-0.1831,0.2441,-0.061,brightstable
1936,0.0188,-0.0084,1.0071,-0.2441,0.2441,-0.1831,brightstable
1936,0.0183,-0.0077,1.007,-0.2441,0.1831,-0.2441,brightstable
1936,0.0193,-0.0098,1.0066,-0.3052,0.2441,-0.2441,brightstable
1935,0.0175,-0.0092,1.0087,-0.2441,0.061,-0.3662,brightstable
1935,0.0182,-0.0082,1.0076,-0.2441,0.1831,-0.4883,brightstable
1933,0.0182,-0.009,1.0067,-0.1831,0.1831,-0.3052,brightstable
1933,0.0179,-0.009,1.0082,-0.1831,0.2441,-0.1831,brightstable
1933,0.0182,-0.0084,1.0073,-0.1831,0.3052,-0.1831,brightstable
1934,0.0171,-0.0082,1.0083,-0.2441,0.1831,-0.1831,brightstable
1936,0.0177,-0.0087,1.0068,-0.3052,0.3662,0,brightstable
1937,0.0184,-0.0088,1.0074,-0.2441,0.3662,0.061,brightstable
1936,0.0197,-0.0085,1.007,-0.2441,0,-0.2441,brightstable
1935,0.0178,-0.0078,1.0067,-0.2441,0,-0.6104,brightstable
1936,0.0173,-0.0084,1.0074,-0.1831,0,-0.4272,brightstable
1936,0.016,-0.0085,1.0078,-0.3052,0.1831,-0.3052,brightstable
1935,0.0166,-0.0088,1.0073,-0.3052,0.3052,-0.2441,brightstable
1935,0.0162,-0.0095,1.0065,-0.2441,0.1831,-0.2441,brightstable
1935,0.0166,-0.0093,1.0079,-0.2441,0.2441,-0.2441,brightstable
1936,0.0162,-0.0093,1.0076,-0.2441,0.1831,-0.1221,brightstable
1937,0.0159,-0.0088,1.0088,-0.3052,0.3662,-0.2441,brightstable
1936,0.0179,-0.0079,1.0081,-0.2441,0.3052,-0.2441,brightstable
1936,0.0181,-0.0087,1.0079,-0.3052,0.3052,-0.1831,brightstable
1937,0.0178,-0.0079,1.0089,-0.2441,0.3662,-0.1221,brightstable
1938,0.0181,-0.009,1.0066,-0.1831,0.2441,0.061,brightstable
1939,0.0183,-0.0089,1.0071,-0.1831,0.3052,-0.061,brightstable
1939,0.0182,-0.0083,1.0076,-0.3052,0.061,-0.2441,brightstable
1940,0.0173,-0.0092,1.0081,-0.1831,0.1831,-0.2441,brightstable
1940,0.0176,-0.0081,1.0079,-0.2441,0.3662,-0.1831,brightstable
1941,0.0187,-0.0082,1.007,-0.1831,0.3052,0,brightstable
1940,0.0189,-0.0092,1.0082,-0.3052,0.061,-0.1831,brightstable
1939,0.0176,-0.0082,1.0073,-0.2441,0.061,-0.5493,brightstable
1939,0.0176,-0.0098,1.0067,-0.1831,0.061,-0.4272,brightstable
1939,0.0178,-0.0083,1.0068,-0.2441,0.3052,-0.2441,brightstable
1939,0.0179,-0.0077,1.0087,-0.2441,0.3662,-0.1831,brightstable
1938,0.019,-0.0084,1.0073,-0.2441,0.2441,-0.1831,brightstable
1939,0.0186,-0.009,1.0078,-0.2441,0.1831,-0.2441,brightstable
1940,0.0183,-0.0073,1.0074,-0.3052,0.1831,-0.2441,brightstable
1939,0.0188,-0.0082,1.0071,-0.2441,0.1831,-0.1831,brightstable
1939,0.0178,-0.0089,1.0071,-0.3052,0.3052,-0.1831,brightstable
1940,0.0181,-0.0078,1.0081,-0.1831,0.1221,-0.1831,brightstable
1941,0.0177,-0.0079,1.007,-0.2441,0.3662,-0.2441,brightstable
1941,0.0189,-0.0072,1.0071,-0.2441,0.3052,-0.061,brightstable
1943,0.0183,-0.0082,1.0073,-0.1831,0.3052,-0.1221,brightstable
1941,0.0181,-0.0088,1.0071,-0.2441,0.061,-0.1831,brightstable
1943,0.0175,-0.0077,1.007,-0.1831,0.1831,-0.4272,brightstable
1942,0.0181,-0.0083,1.0068,-0.2441,0.061,-0.3052,brightstable
1942,0.0171,-0.009,1.0082,-0.3052,0.1221,-0.3052,brightstable
1941,0.0161,-0.0085,1.0074,-0.1831,0.1831,-0.1831,brightstable
1940,0.0168,-0.0083,1.0082,-0.2441,0.2441,-0.2441,brightstable
1940,0.0167,-0.0098,1.0076,-0.2441,0.1831,-0.2441,brightstable
1940,0.0167,-0.0083,1.0079,-0.1831,0.1831,-0.1221,brightstable
1941,0.0175,-0.0085,1.0078,-0.2441,0.2441,-0.2441,brightstable
1942,0.0173,-0.0085,1.0073,-0.2441,0.1831,-0.1831,brightstable
1942,0.0173,-0.0088,1.0082,-0.2441,0.2441,-0.3052,brightstable
1944,0.0165,-0.0083,1.0079,-0.2441,0.3052,-0.2441,brightstable
1944,0.0161,-0.0078,1.0084,-0.3052,0.2441,-0.2441,brightstable
1943,0.0172,-0.0081,1.0079,-0.2441,0.1831,-0.2441,brightstable
1943,0.017,-0.0088,1.0071,-0.1831,0.2441,-0.2441,brightstable
1943,0.0176,-0.0085,1.0072,-0.2441,0.2441,-0.2441,brightstable
1943,0.0168,-0.0081,1.0077,-0.2441,0.1831,-0.2441,brightstable
1943,0.0178,-0.0076,1.007,-0.2441,0.3052,-0.2441,brightstable
1944,0.0167,-0.0093,1.0062,-0.2441,0.2441,-0.1831,brightstable
1945,0.0183,-0.0083,1.007,-0.3052,0.2441,-0.1831,brightstable
1945,0.0179,-0.009,1.0078,-0.2441,0.2441,-0.2441,brightstable
1945,0.0179,-0.0081,1.0076,-0.3052,0.2441,-0.2441,brightstable
1945,0.0172,-0.0082,1.0071,-0.2441,0.1831,-0.1831,brightstable
1945,0.0178,-0.0084,1.0079,-0.2441,0.1831,-0.2441,brightstable
1944,0.0167,-0.0085,1.006,-0.2441,0.2441,-0.1831,brightstable
1945,0.0173,-0.0093,1.0065,-0.2441,0.1221,-0.1221,brightstable
1945,0.0173,-0.0096,1.0071,-0.1831,0.2441,-0.1831,brightstable
1946,0.0175,-0.0094,1.0067,-0.3052,0.2441,-0.1831,brightstable
1946,0.0182,-0.0081,1.0071,-0.2441,0.1831,-0.2441,brightstable
1947,0.017,-0.0081,1.0079,-0.3052,0.2441,-0.2441,brightstable
1947,0.0166,-0.0079,1.0067,-0.3052,0.1831,-0.2441,brightstable
1947,0.0168,-0.0082,1.0072,-0.2441,0.1831,-0.1831,brightstable
1946,0.0176,-0.009,1.0066,-0.1831,0.1831,-0.1831,brightstable
1946,0.0166,-0.0093,1.0074,-0.3052,0.1831,-0.1831,brightstable
1946,0.0165,-0.0082,1.0081,-0.2441,0.1831,-0.2441,brightstable
1947,0.0159,-0.0078,1.006,-0.3052,0.2441,-0.1831,brightstable
1947,0.0155,-0.0084,1.0079,-0.2441,0.1831,-0.2441,brightstable
1948,0.0154,-0.009,1.0077,-0.2441,0.2441,-0.1831,brightstable
1949,0.0156,-0.0085,1.0074,-0.2441,0.1831,-0.2441,brightstable
1950,0.0167,-0.0081,1.0074,-0.2441,0.1831,-0.2441,brightstable
1949,0.0155,-0.0087,1.0074,-0.1831,0.3052,-0.1831,brightstable
1949,0.0154,-0.0083,1.0082,-0.2441,0.2441,-0.2441,brightstable
1948,0.0171,-0.0084,1.0085,-0.3052,0.1221,-0.2441,brightstable
1948,0.0154,-0.0071,1.0082,-0.2441,0.1831,-0.1831,brightstable
1949,0.0166,-0.0095,1.0084,-0.2441,0.2441,-0.1831,brightstable
1950,0.0162,-0.0082,1.0074,-0.1831,0.1831,-0.1831,brightstable
1950,0.0177,-0.009,1.0059,-0.3052,0.1221,-0.2441,brightstable
1951,0.0159,-0.0079,1.0066,-0.2441,0.1831,-0.2441,brightstable
1951,0.0165,-0.0096,1.0083,-0.3052,0.2441,-0.1831,brightstable
1950,0.0162,-0.0078,1.0072,-0.2441,0.2441,-0.2441,brightstable
1950,0.0164,-0.0079,1.0062,-0.2441,0.1831,-0.2441,brightstable
1950,0.0164,-0.0079,1.0076,-0.1831,0.1831,-0.1221,brightstable
1949,0.0153,-0.0079,1.0078,-0.3052,0.2441,-0.2441,brightstable
1950,0.016,-0.0084,1.0077,-0.2441,0.3052,-0.2441,brightstable
1951,0.0153,-0.0078,1.0092,-0.2441,0.3052,-0.1831,brightstable
1952,0.0153,-0.0083,1.0073,-0.2441,0.2441,-0.1831,brightstable
1952,0.0151,-0.0073,1.0071,-0.2441,0.1831,-0.1831,brightstable
1952,0.0155,-0.0082,1.0082,-0.3052,0.1831,-0.1831,brightstable
1952,0.0157,-0.0092,1.0072,-0.3052,0.2441,-0.2441,brightstable
1952,0.0161,-0.0092,1.007,-0.2441,0.2441,-0.1831,brightstable
1951,0.0161,-0.0079,1.0074,-0.2441,0.2441,-0.1831,brightstable
1952,0.0161,-0.0085,1.0073,-0.2441,0.2441,-0.2441,brightstable
1952,0.0151,-0.0088,1.0077,-0.2441,0.1831,-0.1831,brightstable
1953,0.0167,-0.0084,1.0066,-0.2441,0.1831,-0.2441,brightstable
1953,0.0171,-0.0079,1.0062,-0.2441,0.1221,-0.1831,brightstable
1953,0.0156,-0.0078,1.0092,-0.3052,0.2441,-0.2441,brightstable
1953,0.0165,-0.0087,1.0062,-0.2441,0.1831,-0.1831,brightstable
1953,0.0168,-0.0082,1.0073,-0.3052,0.1831,-0.1831,brightstable
1952,0.0177,-0.0082,1.0087,-0.2441,0.1831,-0.1831,brightstable
1952,0.0171,-0.0078,1.0076,-0.2441,0.2441,-0.2441,brightstable
1952,0.016,-0.009,1.0074,-0.2441,0.3662,-0.1221,brightstable
1953,0.0167,-0.0087,1.0081,-0.2441,0.3052,-0.2441,brightstable
1953,0.0164,-0.0071,1.0066,-0.2441,0.2441,-0.2441,brightstable
1953,0.0175,-0.0079,1.0068,-0.1831,0.2441,-0.1831,brightstable
1953,0.0176,-0.0071,1.0076,-0.1831,0.1831,-0.1831,brightstable
1953,0.0175,-0.0079,1.0066,-0.2441,0.2441,-0.1831,brightstable
1953,0.0176,-0.0079,1.006,-0.1831,0.1831,-0.2441,brightstable
1953,0.017,-0.0076,1.0063,-0.1831,0.1831,-0.1831,brightstable
1953,0.0167,-0.009,1.0076,-0.1831,0.2441,-0.2441,brightstable
1953,0.0171,-0.009,1.0081,-0.2441,0.2441,-0.2441,brightstable
1953,0.0176,-0.0084,1.0082,-0.1831,0.2441,-0.2441,brightstable
1954,0.017,-0.0079,1.0068,-0.2441,0.1831,-0.1221,brightstable
1954,0.0173,-0.0082,1.0079,-0.3052,0.1831,-0.1221,brightstable
1955,0.0168,-0.0089,1.0074,-0.2441,0.2441,-0.1831,brightstable
1954,0.0171,-0.0085,1.0063,-0.1831,0.2441,-0.2441,brightstable
1955,0.0172,-0.0083,1.0068,-0.1831,0.2441,-0.2441,brightstable
1954,0.0171,-0.0071,1.0077,-0.2441,0.2441,-0.2441,brightstable
1955,0.0165,-0.0074,1.007,-0.3052,0.2441,-0.2441,brightstable
1955,0.0172,-0.0082,1.0081,-0.2441,0.2441,-0.2441,brightstable
1955,0.0175,-0.0092,1.0079,-0.1831,0.2441,-0.1831,brightstable
1956,0.0177,-0.0089,1.0071,-0.2441,0.3052,-0.2441,brightstable
